target,day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
2020wnt,20201208,76482092,0,r,R,56.66516547367352,43.228288020890545,27.233718872070312,25.81787872314453,43.02936935424805,8.21306324005127,4.435681343078613,53.10015106201172,4,0.07750377058982849,0.025877846404910088,10.0,5.0,9.0,4.376725489336364,10.0,14.0,6.0,6.0,7.0,14.0
2020wnt,20201208,76482095,0,r,R,56.68100539452915,43.185970508260056,29.86031723022461,25.856260299682617,822.2666015625,23.5782527923584,4.4784698486328125,256.4749450683594,3,0.6271889209747314,0.0489271879196167,180.0,4.0,58.0,4.511358676345187,20.0,6.0,9.0,9.0,4.0,26.0
2020wnt,20201220,76606103,0,r,R,56.676665767680994,43.22121660161723,8.613237380981445,25.870582580566406,30.80767822265625,7.308965682983398,2.8527791500091553,142.9786376953125,41,0.032383013516664505,0.019063761457800865,10.0,50.0,4.0,2.853404958266075,50.0,59.0,42.0,42.0,5.0,75.0
2020wnt,20201220,76606106,0,r,R,56.67653205573616,43.221138765363946,11.196596145629883,28.97574806213379,560.4266357421875,19.72915267944336,3.54164719581604,174.7366943359375,29,0.015327698551118374,0.00941470731049776,180.0,35.0,62.0,3.539585183969009,73.0,91.0,53.0,45.0,7.0,112.0
2020wnt,20201220,76606107,0,i,I,56.676593063900434,43.221121889711945,11.783228874206543,28.591773986816406,492.09613037109375,18.874547958374023,3.2425601482391357,159.8671417236328,52,0.028178172186017036,0.016834963113069534,180.0,59.0,56.0,3.24342844816384,79.0,89.0,97.0,86.0,7.0,116.0
2020wnt,20210219,77206088,0,r,R,56.6755009565342,43.2302130872057,15.691415786743164,25.49657440185547,130.17535400390625,10.03272533416748,2.3284809589385986,88.53382873535156,31,0.021509826183319092,0.015592494048178196,10.0,38.0,6.0,2.330469761097366,42.0,44.0,32.0,32.0,2.0,50.0
2020wnt,20210219,77206091,0,r,R,56.675821559093244,43.23003973888997,20.86333656311035,29.672945022583008,1969.96923828125,35.48100280761719,2.0882081985473633,74.30573272705078,105,0.010906016454100609,0.0066234637051820755,330.0,61.0,125.0,2.0878120390053834,149.0,159.0,116.0,108.0,24.0,198.0
2020wnt,20210219,77206092,0,i,I,56.67586186294006,43.230005939968756,22.060096740722656,29.305477142333984,2918.66357421875,45.505638122558594,2.122948169708252,74.54448699951172,115,0.010364395566284657,0.005542115308344364,390.0,63.0,120.0,2.12333920421666,145.0,150.0,129.0,129.0,24.0,190.0
2020wnt,20210301,77309083,0,r,R,56.66969525690454,43.226553277474316,41.17233657836914,25.701629638671875,64.09945678710938,8.391117095947266,1.4784624576568604,43.39244079589844,55,0.04158434644341469,0.023404797539114952,10.0,75.0,6.0,1.4771695822185829,64.0,66.0,78.0,77.0,7.0,70.0
2020wnt,20210301,77309084,0,r,R,56.67477090118414,43.22970975875936,48.09480285644531,25.681795120239258,70.52352905273438,8.541714668273926,1.74403715133667,61.80971908569336,49,0.03760867565870285,0.01944386214017868,10.0,68.0,7.0,1.747655366554038,56.0,57.0,64.0,63.0,3.0,60.0
2020wnt,20210307,77371076,0,r,R,56.66212986108753,43.23124754540918,34.463443756103516,25.831209182739258,55.35709762573242,8.001280784606934,2.3232614994049072,98.44487762451172,50,0.029146937653422356,0.019312765449285507,10.0,60.0,10.0,2.3224340915747423,61.0,63.0,57.0,57.0,3.0,74.0
2020wnt,20210307,77371079,0,r,R,56.661531267273936,43.23109828620593,41.343814849853516,29.9368953704834,2825.337158203125,42.87118911743164,2.6981382369995117,116.65753173828125,97,0.013827608898282051,0.006562464404851198,450.0,66.0,126.0,2.699163534878712,116.0,128.0,111.0,110.0,15.0,159.0
2020wnt,20210307,77371080,0,i,I,56.661547158437784,43.23110757636835,42.79241180419922,29.554689407348633,1879.327392578125,38.082275390625,2.8862528800964355,129.8521270751953,46,0.018471570685505867,0.009234383702278137,450.0,61.0,139.0,2.884398196419247,57.0,67.0,107.0,100.0,8.0,90.0
2020wnt,20210322,77524083,0,r,R,56.65916274380513,43.23198093833523,41.94314956665039,25.733152389526367,130.30056762695312,10.219474792480469,2.3033711910247803,85.40538787841797,36,0.039577286690473557,0.02257782220840454,10.0,48.0,6.0,2.3029836612200985,46.0,47.0,44.0,44.0,3.0,55.0
2020wnt,20210322,77524086,0,r,R,56.65938199002598,43.23119789613733,48.593109130859375,30.14235496520996,8709.255859375,78.33316040039062,2.6630823612213135,115.10979461669922,71,0.017665697261691093,0.011769314296543598,600.0,69.0,142.0,2.662809852499551,97.0,115.0,89.0,85.0,33.0,136.0
2020wnt,20210322,77524087,0,i,I,56.659474338632,43.23117124493973,50.44441223144531,29.8004150390625,5284.0625,70.19689178466797,2.4792087078094482,101.58512878417969,51,0.015603180974721909,0.009518963284790516,600.0,66.0,155.0,2.477390642033178,66.0,79.0,114.0,102.0,9.0,102.0
2020wnt,20210325,77555038,0,r,R,56.661556635592916,43.23393388132444,45.94565200805664,25.333202362060547,337.0471496582031,15.20620059967041,2.7000627517700195,117.89486694335938,21,0.03185185417532921,0.019990522414445877,10.0,24.0,12.0,2.7006623677595334,24.0,27.0,22.0,22.0,2.0,30.0
2020wnt,20210707,78632132,0,r,R,56.685103942166066,43.20954031878803,58.89434814453125,25.785158157348633,64.05340576171875,8.433307647705078,2.2455577850341797,82.73072814941406,45,0.05237520486116409,0.02396637387573719,10.0,60.0,3.0,2.2454814807242283,54.0,54.0,52.0,52.0,3.0,65.0
2020wnt,20210707,78632133,0,r,R,56.686235328502924,43.20954215324513,57.577999114990234,30.224876403808594,7043.57666015625,71.90675354003906,2.5051348209381104,101.789794921875,85,0.013665632344782352,0.007484058849513531,600.0,60.0,160.0,2.505470783495597,103.0,117.0,109.0,108.0,20.0,147.0
2020wnt,20210707,78632134,0,i,I,56.686242088436856,43.2095815162641,55.78600311279297,29.886276245117188,29710.279296875,175.48672485351562,2.5342586040496826,129.99026489257812,5,0.03992186859250069,0.026384171098470688,600.0,59.0,67.0,2.5452334283023794,30.0,34.0,25.0,22.0,34.0,46.0
2020wnt,20210713,78694142,0,r,R,56.661057074242194,43.22156337562394,59.66884994506836,25.609548568725586,40.880592346191406,8.154693603515625,2.7680423259735107,123.6968765258789,28,0.053715310990810394,0.02842642366886139,10.0,43.0,7.0,2.7599163947994763,38.0,45.0,34.0,34.0,6.0,56.0
2020wnt,20210713,78694144,0,r,R,56.66129329624106,43.221494678210476,55.96780776977539,30.06425666809082,2488.21533203125,41.35177230834961,3.174647808074951,140.8482208251953,55,0.021682610735297203,0.013239664025604725,600.0,57.0,154.0,3.175440152845056,86.0,95.0,88.0,81.0,9.0,114.0
