day_obs,visit,detector,band,physical_filter,ra,dec,zenithDistance,zeroPoint,skyBg,skyNoise,psfSigma,psfArea,nPsfStar,astromOffsetMean,astromOffsetStd,expTime,astrometry_matches_count,cosmic_ray_count,final_psf_sigma,matched_psf_star_count,photometry_matches_count,psf_available_star_count,psf_good_star_count,saturated_source_count,star_count
20250803,93461039,0,b,B,300.1762772842312,22.70597367902295,33.513938903808594,23.5626277923584,7.384639739990234,6.220066547393799,2.6328182220458984,111.0013656616211,16,0.06125577911734581,0.03428557515144348,4.0,21.0,4.0,2.6344135517131813,25.0,37.0,16.0,16.0,3.0,32.0
20250803,93461040,0,b,B,300.1761142643676,22.7059886479147,33.39705276489258,23.569778442382812,7.238163471221924,6.230605602264404,2.677368640899658,110.23856353759766,23,0.03737936168909073,0.016780836507678032,4.0,21.0,4.0,2.6742328760879435,25.0,49.0,23.0,23.0,1.0,28.0
20250803,93461041,0,b,B,300.17621869036367,22.705839307736166,33.28054428100586,23.575511932373047,7.1654052734375,6.238584041595459,2.182936191558838,83.79984283447266,23,0.04616783931851387,0.019685016945004463,4.0,24.0,9.0,2.1838780985825665,28.0,36.0,25.0,25.0,1.0,29.0
20250803,93461042,0,b,B,300.1762182935094,22.706100012408996,33.16381072998047,23.578811645507812,6.96415901184082,6.259365081787109,2.0875205993652344,76.50523376464844,25,0.04138731211423874,0.023442480713129044,4.0,31.0,8.0,2.0875777114072696,31.0,39.0,28.0,28.0,3.0,33.0
20250803,93461043,0,b,B,300.17620143333664,22.705999754833737,33.04731750488281,23.579862594604492,6.5753173828125,6.2314653396606445,2.287163257598877,86.14761352539062,26,0.04358110949397087,0.01866728439927101,4.0,26.0,5.0,2.286078437504942,31.0,41.0,27.0,27.0,4.0,34.0
20250803,93461044,0,b,B,300.17608227157973,22.705895574054104,32.93086624145508,23.574111938476562,7.27431058883667,6.218265056610107,2.217898368835449,80.01873016357422,27,0.04477987438440323,0.025766117498278618,4.0,32.0,9.0,2.2096652497274745,28.0,50.0,34.0,34.0,3.0,30.0
20250803,93461045,0,b,B,300.17611922360726,22.705977450260185,32.81439208984375,23.571264266967773,7.083067417144775,6.210028648376465,2.6841089725494385,107.83602905273438,22,0.041133347898721695,0.023779913783073425,4.0,19.0,8.0,2.674172911609058,26.0,39.0,22.0,22.0,3.0,31.0
20250803,93461046,0,b,B,300.1762221783909,22.705961869066062,32.69823455810547,23.565296173095703,6.8628926277160645,6.207980632781982,2.5949254035949707,111.84656524658203,18,0.04629160836338997,0.021212048828601837,4.0,22.0,13.0,2.595054857518949,27.0,37.0,18.0,18.0,3.0,30.0
20250803,93461047,0,b,B,300.1763137212156,22.705948436639048,32.582157135009766,23.576248168945312,7.642374038696289,6.193500995635986,2.3372814655303955,87.43685913085938,24,0.03426100313663483,0.017538608983159065,4.0,23.0,7.0,2.336881346564262,29.0,38.0,24.0,24.0,3.0,31.0
20250803,93461048,0,b,B,300.1762898716205,22.705925297582823,32.46609115600586,23.554447174072266,7.442698955535889,6.186568737030029,2.76246976852417,125.1700439453125,18,0.046887870877981186,0.019823381677269936,4.0,20.0,10.0,2.755604662401928,23.0,34.0,18.0,18.0,1.0,27.0
20250803,93461049,0,b,B,300.1763075023201,22.705870770910536,32.35013198852539,23.583948135375977,7.1860833168029785,6.194117069244385,2.052064895629883,73.46878051757812,25,0.03989431634545326,0.02122444100677967,4.0,28.0,6.0,2.054862624643616,30.0,38.0,28.0,28.0,3.0,31.0
20250803,93461050,0,b,B,300.1761851468106,22.705782925449093,32.23421096801758,23.568025588989258,7.1395769119262695,6.200007915496826,2.41481614112854,101.26423645019531,21,0.04458490014076233,0.022767970338463783,4.0,15.0,7.0,2.417064500711713,26.0,32.0,23.0,23.0,4.0,29.0
20250803,93461051,0,b,B,300.17627790877697,22.705952931682017,32.118431091308594,23.58666229248047,7.106504440307617,6.214136600494385,2.1978566646575928,79.44713592529297,23,0.05381428450345993,0.02590775303542614,4.0,26.0,3.0,2.200001324224243,30.0,39.0,24.0,24.0,4.0,33.0
20250803,93461052,0,b,B,300.17626291559844,22.70593927693719,32.00273895263672,23.583351135253906,6.943005561828613,6.220063209533691,2.6038575172424316,99.9888687133789,21,0.05291392654180527,0.024931054562330246,4.0,21.0,3.0,2.6128892560536316,27.0,38.0,21.0,21.0,3.0,33.0
20250803,93461053,0,b,B,300.1762568533335,22.70598099674119,31.887115478515625,23.57523536682129,6.77131462097168,6.227479457855225,2.380166530609131,94.27511596679688,21,0.05110442265868187,0.022534679621458054,4.0,25.0,8.0,2.3823103400951195,28.0,36.0,23.0,23.0,3.0,31.0
